imdbid;rating
0146468;7.1
0319769;7.5
0369702;8
2404738;6.4
0896986;6.4
1016301;6.6
0125659;7.7
1525915;6.2
0070040;7.8
0081323;6.1
0088461;7.1
0107315;6.5
0091495;7
0095675;7.5
1189073;7.6
4326444;7.1
6908274;7.4
1937149;7.6
0111549;5.7
5862312;6.2
0245574;7.7
0464141;7.4
1038988;7.4
8228288;7
4857264;8
1512685;6.7
0093840;5.7
0256009;7.4
0185125;7.8
0093412;7.1
0103030;7
0057643;8
3253930;7.2
0112922;7.3
0109699;6.5
1242422;7.6
0255067;7.2
0092693;7.3
0088040;8.1
0055763;7.4
0044092;7.5